Trades,Wins,Losses,Breakevens,Win Rate,Average R,Total R,Best R,Worst R,Max Drawdown,Profit Factor,Ticker
8,3,2,3,0.375,0.9671888415553687,7.737510732442949,5.939226388554714,-1.0000000000000004,-1.0,4.868755366221472,AAPL
5,1,3,1,0.2,0.006676718747992849,0.033383593739964246,3.033383593739964,-1.0000000000000007,-1.9999999999999998,1.011127864579988,MSFT
4,2,1,1,0.5,2.8536978977745253,11.414791591098101,8.040788240915552,-1.0000000000000004,-1.0,12.414791591098096,NVDA
4,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,,AMZN
6,1,2,3,0.16666666666666666,-0.2882951240414608,-1.7297707442487649,1.18955207606576,-1.9193228203145247,-1.9193228203145247,0.4074753459220378,META
7,2,3,2,0.2857142857142857,0.5327299533765095,3.7291096736355667,7.141517708002126,-2.0592557733393693,-2.0592557733393693,1.9186683180024877,GOOGL
3,2,1,0,0.6666666666666666,4.375430193973716,13.126290581921147,9.725175822758487,-1.0000000000000009,-1.0000000000000009,14.126290581921134,AVGO
8,0,6,2,0.0,-0.7499999999999996,-5.9999999999999964,0.0,-1.0000000000000016,-4.999999999999998,0.0,JPM
9,3,2,4,0.3333333333333333,2.2846467143557714,20.561820429201944,10.512645502941705,-0.9999999999999984,-1.9999999999999964,11.280910214600988,LLY
2,1,1,0,0.5,-0.10321580208226355,-0.2064316041645271,0.7935683958354713,-0.9999999999999984,-0.9999999999999984,0.7935683958354726,XOM
